Timestamp, FixationPointX, FixationPointY, FixationPointZ,LeftGazeX, LeftGazeY, LeftGazeZ, RightGazeX, RightGazeY, RightGazeZ,LeftGazeOriginX, LeftGazeOriginY, LeftGazeOriginZ, RightGazeOriginX, RightGazeOriginY, RightGazeOriginZ,LeftPupilDiameter, RightPupilDiameter, LeftEyeOpenness, RightEyeOpenness
2023-09-18 11:54:29.236, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1259362, 0.2355583
2023-09-18 11:54:29.248, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.132675, 0.2122936
2023-09-18 11:54:29.258, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1208264, 0.1849623
2023-09-18 11:54:29.269, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1208264, 0.1849623
2023-09-18 11:54:29.280, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1587233, 0.226014
2023-09-18 11:54:29.291, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1095774, 0.2297244
2023-09-18 11:54:29.302, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1095774, 0.2297244
2023-09-18 11:54:29.313, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1716818, 0.2322956
2023-09-18 11:54:29.324, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1270166, 0.2540022
2023-09-18 11:54:29.336, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1180912, 0.2622651
2023-09-18 11:54:29.347, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1180912, 0.2622651
2023-09-18 11:54:29.360, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1021831, 0.2419557
2023-09-18 11:54:29.371, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1241236, 0.2328191
2023-09-18 11:54:29.381, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1241236, 0.2328191
2023-09-18 11:54:29.392, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.120214, 0.2737255
2023-09-18 11:54:29.402, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.120214, 0.2737255
2023-09-18 11:54:29.414, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1256267, 0.2455917
2023-09-18 11:54:29.424, 0, 0, 0,0, 0, 0, 0, 0, 0,26.20491, -2.325485, -22.43532, -32.11028, 0.9910126, -22.96204,-1, -1, 0.1529074, 0.2545905
